angle,x,y
71.56505117707799,450.0,194.0
71.56505117707799,451.0,197.0
71.56505117707799,452.0,200.0
71.56505117707799,453.0,203.0
71.56505117707799,454.0,206.0
71.56505117707799,455.0,209.0
71.56505117707799,456.0,212.0
71.56505117707799,457.0,215.0
71.56505117707799,458.0,218.0
71.56505117707799,459.0,221.0
71.56505117707799,460.0,224.0
71.56505117707799,461.0,227.0
71.56505117707799,462.0,230.0
71.56505117707799,463.0,233.0
71.56505117707799,464.0,236.0
71.56505117707799,465.0,239.0
71.56505117707799,466.0,242.0
71.56505117707799,467.0,245.0
71.56505117707799,468.0,248.0
71.56505117707799,469.0,251.0
71.56505117707799,470.0,254.0
71.56505117707799,471.0,257.0
71.56505117707799,472.0,260.0
71.56505117707799,473.0,263.0
71.56505117707799,474.0,266.0
71.56505117707799,475.0,269.0
71.56505117707799,476.0,272.0
71.56505117707799,477.0,275.0
71.56505117707799,478.0,278.0
71.56505117707799,479.0,281.0
71.56505117707799,480.0,284.0
71.56505117707799,481.0,287.0
71.56505117707799,482.0,290.0
71.56505117707799,483.0,293.0
71.56505117707799,484.0,296.0
71.56505117707799,485.0,299.0
71.56505117707799,486.0,302.0
71.56505117707799,487.0,305.0
71.56505117707799,488.0,308.0
71.56505117707799,489.0,311.0
71.56505117707799,490.0,314.0
71.56505117707799,491.0,317.0
71.56505117707799,492.0,320.0
71.56505117707799,493.0,323.0
71.56505117707799,494.0,326.0
71.56505117707799,495.0,329.0
71.56505117707799,496.0,332.0
71.56505117707799,497.0,335.0
71.56505117707799,498.0,338.0
71.56505117707799,499.0,341.0
71.56505117707799,500.0,344.0
71.56505117707799,501.0,347.0
71.56505117707799,502.0,350.0
71.56505117707799,503.0,353.0
71.56505117707799,504.0,356.0
71.56505117707799,505.0,359.0
71.56505117707799,506.0,362.0
71.56505117707799,507.0,365.0
71.56505117707799,508.0,368.0
71.56505117707799,509.0,371.0
71.56505117707799,510.0,374.0
71.56505117707799,511.0,377.0
71.56505117707799,512.0,380.0
71.56505117707799,513.0,383.0
71.56505117707799,514.0,386.0
71.56505117707799,515.0,389.0
71.56505117707799,516.0,392.0
71.56505117707799,517.0,395.0
71.56505117707799,518.0,398.0
-56.309932474020215,518.0,398.0
-56.309932474020215,520.0,395.0
-56.309932474020215,522.0,392.0
-56.309932474020215,524.0,389.0
-56.309932474020215,526.0,386.0
-56.309932474020215,528.0,383.0
-56.309932474020215,530.0,380.0
-56.309932474020215,532.0,377.0
-56.309932474020215,534.0,374.0
-56.309932474020215,536.0,371.0
-56.309932474020215,538.0,368.0
-56.309932474020215,540.0,365.0
-56.309932474020215,542.0,362.0
-56.309932474020215,544.0,359.0
-56.309932474020215,546.0,356.0
-56.309932474020215,548.0,353.0
-56.309932474020215,550.0,350.0
-56.309932474020215,552.0,347.0
-56.309932474020215,554.0,344.0
-56.309932474020215,556.0,341.0
-56.309932474020215,558.0,338.0
-56.309932474020215,560.0,335.0
-56.309932474020215,562.0,332.0
-56.309932474020215,564.0,329.0
-56.309932474020215,566.0,326.0
-56.309932474020215,568.0,323.0
-56.309932474020215,570.0,320.0
-56.309932474020215,572.0,317.0
-56.309932474020215,574.0,314.0
-56.309932474020215,576.0,311.0
-56.309932474020215,578.0,308.0
-56.309932474020215,580.0,305.0
-56.309932474020215,582.0,302.0
-56.309932474020215,584.0,299.0
-56.309932474020215,586.0,296.0
-56.309932474020215,588.0,293.0
-56.309932474020215,590.0,290.0
-56.309932474020215,592.0,287.0
-56.309932474020215,594.0,284.0
-123.69006752597979,596.0,281.0
-123.69006752597979,594.0,278.0
-123.69006752597979,592.0,275.0
-123.69006752597979,590.0,272.0
-123.69006752597979,588.0,269.0
-123.69006752597979,586.0,266.0
-123.69006752597979,584.0,263.0
-123.69006752597979,582.0,260.0
-123.69006752597979,580.0,257.0
-123.69006752597979,578.0,254.0
-123.69006752597979,576.0,251.0
-123.69006752597979,574.0,248.0
-123.69006752597979,572.0,245.0
-123.69006752597979,570.0,242.0
-123.69006752597979,568.0,239.0
